ID,Term,Aliases / Related labels,Category,Subcategory,Plain-English meaning,Mechanical role,Typical value / unit,Design notes / distinctions,Example systems,Scope,Source keys,Primary source URL,Additional source URLs,Added,Search tags
WG-1823,Commander Category Conversion,slot-category conversion; commander unlock conversion,Deployment & army building,Leader-modified roster taxonomy,"A commander can change another unit's army-building category, altering which structural requirements and unlock relationships apply to it.",Makes commander choice reshape list construction rather than only battlefield performance.,unit category change / commander effect,Useful for themed forces where a leader turns normally specialised troops into the army's core backbone.,Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-BUILD,https://www.manticgames.com/news/kings-of-war-4th-edition-building-armies/,,v62,commander category conversion core specialist army theme
WG-1824,Trait-Gated Command Order,keyword-gated order; unit-type-gated order,Command & control,Eligibility-filtered command effect,A command effect may only target units with a specified Trait or unit type rather than every friendly unit in range.,Uses unit taxonomy to restrict tactical buffs and reinforce faction doctrine.,Trait or unit-type requirement,Useful for commands intended to strengthen a particular formation family without becoming universally optimal.,Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-CMD,https://www.manticgames.com/news/kings-of-war-4th-edition-advanced-games/,,v62,trait gated command order unit type eligibility kings war
WG-1825,Commander-Tier Order Dice,command-rank dice pool; leader-tier command roll,Command & control,Rank-scaled order reliability,Different commander tiers roll different numbers of ordinary dice when attempting the same command-order procedure.,Makes senior command improve reliability through dice volume rather than a separate command statistic.,Champion 2D6 / Warlord 3D6 in source,Useful when commander hierarchy should matter while preserving one common target-number system.,Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-CMD,https://www.manticgames.com/news/kings-of-war-4th-edition-advanced-games/,,v62,commander tier order dice champion warlord reliability
WG-1826,Command Order Range,order radius; command reach,Command & control,Spatial command eligibility,A commander can attempt orders only on friendly units within a defined distance.,Turns commander positioning into part of the resource and buff economy.,12 inches in source,Useful for making leaders physically participate in the battleline rather than functioning as off-table resource generators.,Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-CMD,https://www.manticgames.com/news/kings-of-war-4th-edition-advanced-games/,,v62,command order range radius commander positioning
WG-1827,Command Order Self-Exclusion,commander target exclusion; no self-order,Command & control,Source-class target prohibition,"Commanders may issue orders while themselves engaged or affected by other statuses, but the order system excludes commander models as targets.",Separates ability to issue command from eligibility to receive its benefits.,binary target restriction,Useful for preventing command pieces from recursively amplifying themselves while allowing them to function under battlefield pressure.,Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-CMD,https://www.manticgames.com/news/kings-of-war-4th-edition-advanced-games/,,v62,command self exclusion commander cannot target command order
WG-1828,Turn-Limited Command Effect,temporary order buff; order-duration expiry,Command & control,Short-duration command modifier,"Unless specifically stated otherwise, a successful command order affects its target only until the end of the current turn.",Makes command effects tactical pulses rather than persistent upgrades.,until end of turn,Useful default duration rule that prevents repeated command effects from accumulating bookkeeping across rounds.,Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-CMD,https://www.manticgames.com/news/kings-of-war-4th-edition-advanced-games/,,v62,turn limited command effect temporary buff expiry
WG-1829,Shooting-Capped Rout,ranged rout protection; shooting-limited morale failure,Damage & morale,Attack-mode capped destruction result,A unit failing a morale test caused by shooting normally stops at a degraded morale result rather than being destroyed outright unless it is already near collapse.,Makes ranged attacks soften formations while reserving routine decisive destruction for close combat.,Nerve failure / Wavering rather than Rout in source,Useful when designers want ranged fire to shape assaults without letting it dominate unit removal.,Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-RANGED,https://www.manticgames.com/news/kings-of-war-4th-edition-the-ranged-phase/,,v62,shooting capped rout ranged morale wavering kings war
WG-1830,Engagement Contact Without Combat,non-engaged contact; touching without engagement,Movement,Contact-state separation,Enemy formations may physically touch without automatically becoming engaged; engagement is created by the appropriate combat action rather than contact alone.,Separates miniature geometry from combat state and removes mandatory stand-off spacing.,physical contact / binary engagement state,Useful for dense rank-and-flank games where tiny mandatory gaps create measuring disputes without adding tactical value.,Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-MOVE,https://www.manticgames.com/news/kings-of-war-4th-edition-the-movement-phase/,,v62,contact without combat engagement state no standoff
WG-1831,No-Shortest-Route Charge,flexible charge path; non-minimal charge route,Movement,Path-flexible charge,"A legal charge need not follow the geometrically shortest route, allowing the attacker to choose a valid approach around intervening geometry.",Reduces pathing disputes and gives the attacker controlled freedom in final approach.,legal movement path / charge,"Useful where exact shortest-path enforcement creates corkscrews, arguments or unintended blocking interactions.",Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-MOVE,https://www.manticgames.com/news/kings-of-war-4th-edition-the-movement-phase/,,v62,no shortest route charge flexible path approach
WG-1832,Two-Unit Facing Charge Cap,multi-charge facing cap; attacker-per-facing limit,Movement,Per-facing engagement capacity,Only a limited number of friendly units may simultaneously charge the same facing of a target.,Caps concentration by geometric frontage rather than a global attacker count.,maximum 2 units per facing in source,Useful for formation games where frontage should constrain how many attackers can meaningfully engage one side of a target.,Kings of War 4th Edition,Generic concept from system-specific rule,KOW4-MOVE,https://www.manticgames.com/news/kings-of-war-4th-edition-the-movement-phase/,,v62,two unit facing charge cap multi charge frontage
WG-1833,Warbeast Frenzy,frenzy; uncontrolled activation,Damage & morale,Resource-overload loss of control,"A resource-bearing creature can fail a threshold test and immediately perform a constrained, automatic activation instead of remaining under normal player control.",Converts accumulated resource pressure into a risk of temporary loss of agency.,threshold test / fury load / forced activation,Useful when a powerful subordinate generates its own resource debt: the debt is tactically useful now but can seize control later.,Warmachine,"System-specific label, reusable concept",WM-SFG-CORE,https://warmachine.gg/pages/warmachine-app,,v63,warbeast frenzy threshold fury uncontrolled activation resource debt
